Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
1506	1.12	1.34	3.47	316	36	27	3492.44	314.56	240.5	53	53	70	1.977	1.29793	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 154, 'tps_qty_index': 66, 'max_risk_long': 52, 'max_risk_short': 30}
1527	0.91	1.17	2.97	314	35	26	3025.78	297.5	229.02	50	54	69	1.683	1.12184	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 113, 'tps_qty_index': 66, 'max_risk_long': 48, 'max_risk_short': 22}
1531	1.26	2.88	3.48	373	49	29	4225.24	507.33	261.78	56	61	69	2.54	1.14839	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 174, 'tps_qty_index': 18, 'max_risk_long': 68, 'max_risk_short': 32}
1538	1.15	2.66	3.36	369	45	28	4346.22	442.38	247.66	60	64	71	2.39	1.12947	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 157, 'tps_qty_index': 47, 'max_risk_long': 63, 'max_risk_short': 32}
1542	1.24	2.33	3.62	350	44	28	4145.91	420.51	250.43	54	57	71	2.397	1.1914	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 170, 'tps_qty_index': 66, 'max_risk_long': 60, 'max_risk_short': 32}
1544	1.25	2.43	3.57	356	44	28	4516.17	430.7	250.4	55	57	71	2.417	1.16006	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 169, 'tps_qty_index': 15, 'max_risk_long': 63, 'max_risk_short': 30}
1555	1.19	0.15	3.0	243	24	22	3080.55	198.63	191.36	56	42	68	1.447	1.44223	{'ott_len': 52, 'ott_percent': 138, 'ott_bw_up': 144, 'ott_bw_down': 105, 'tps_qty_index': 83, 'max_risk_long': 60, 'max_risk_short': 28}
1568	1.32	2.55	3.63	360	45	28	5203.22	442.22	258.34	55	56	71	2.5	1.15581	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 165, 'tps_qty_index': 14, 'max_risk_long': 63, 'max_risk_short': 39}
1578	1.1	2.84	3.55	365	48	29	4383.55	494.86	268.68	54	58	69	2.497	1.26057	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 161, 'tps_qty_index': 14, 'max_risk_long': 68, 'max_risk_short': 32}
1584	0.7	0.56	2.08	934	148	82	10384.85	1302.5	733.38	47	49	49	1.113	0.84008	{'ott_len': 25, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 151, 'tps_qty_index': 14, 'max_risk_long': 60, 'max_risk_short': 30}
1595	1.7	0.29	4.48	230	27	17	3066.08	211.71	153.61	60	52	88	2.157	2.132	{'ott_len': 64, 'ott_percent': 108, 'ott_bw_up': 115, 'ott_bw_down': 108, 'tps_qty_index': 108, 'max_risk_long': 60, 'max_risk_short': 32}
